Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;Fase;Atividade;Diâmetro;Codigo;"Operação - caso Sonda ser Dual Active
";Código 2;Fase;Atividade;Operação;;
;;RIH_BHA_29_2_7;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 7;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;7;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_29_3_7;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 7;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;7;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
;;RIH_BHA_29_4_7;Retirar Protective Sleeve;;;;1;0;0;FASE 7;Retirada de protective sleeve;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Retirada de protective sleeve;;7;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_29_5_7;Instalar Bearing Assembly;;;;1;0;0;FASE 7;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;7;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_29_6_7;Abrir BOP;;;;0,5;0;0;FASE 7;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;7;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_29_7_7;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço revestido);insere;y = PIF - PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 7;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;7;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
;;RIH_BHA_29_8_7;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço aberto);insere;y = PFF - PIF;itens da tabela de coluna de perfuração;0;0;0;FASE 7;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;7;Perfuração;Descida de coluna em poço aberto;Moderada;P-03
RIH_BHA 29-fase-8;RIH_BHA 29-fase-8;RIH_BHA_29_1_8;Montar BHA Bull Nose com Alargador DIAMETRO FASE X pol;zerar itens;;;6;0;0;FASE 8;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;8;Perfuração;Montagem de BHA;Baixa;P-01
;;RIH_BHA_29_2_8;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 8;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;8;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_29_3_8;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 8;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;8;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
;;RIH_BHA_29_4_8;Retirar Protective Sleeve;;;;1;0;0;FASE 8;Retirada de protective sleeve;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Retirada de protective sleeve;;8;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_29_5_8;Instalar Bearing Assembly;;;;1;0;0;FASE 8;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;8;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_29_6_8;Abrir BOP;;;;0,5;0;0;FASE 8;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;8;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_29_7_8;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço revestido);insere;y = PIF - PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 8;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;8;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
;;RIH_BHA_29_8_8;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço aberto);insere;y = PFF - PIF;itens da tabela de coluna de perfuração;0;0;0;FASE 8;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;8;Perfuração;Descida de coluna em poço aberto;Moderada;P-03
RIH_BHA 29-fase-9;RIH_BHA 29-fase-9;RIH_BHA_29_1_9;Montar BHA Bull Nose com Alargador DIAMETRO FASE X pol;zerar itens;;;6;0;0;FASE 9;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;9;Perfuração;Montagem de BHA;Baixa;P-01
;;RIH_BHA_29_2_9;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 9;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;9;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_29_3_9;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 9;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;9;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
;;RIH_BHA_29_4_9;Retirar Protective Sleeve;;;;1;0;0;FASE 9;Retirada de protective sleeve;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Retirada de protective sleeve;;9;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_29_5_9;Instalar Bearing Assembly;;;;1;0;0;FASE 9;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;9;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_29_6_9;Abrir BOP;;;;0,5;0;0;FASE 9;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;9;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_29_7_9;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço revestido);insere;y = PIF - PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 9;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;9;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
;;RIH_BHA_29_8_9;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço aberto);insere;y = PFF - PIF;itens da tabela de coluna de perfuração;0;0;0;FASE 9;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;9;Perfuração;Descida de coluna em poço aberto;Moderada;P-03
RIH_BHA 30-fase-3;RIH_BHA 30-fase-3;RIH_BHA_30_1_3;Montar BHA Bull Nose com Alargador DIAMETRO FASE X pol;zerar itens;;;6;0;0;FASE 3;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;3;Perfuração;Montagem de BHA;Baixa;P-01
;;RIH_BHA_30_2_3;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 3;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;3;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_3_3;"Montar FIRBP com bucha proteção DIAMETRO REVESTIMENTO FASE X + 1""";;;;1;0;0;FASE 3;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;3;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_4_3;"Montar FIRBP com bucha proteçao DIAMETRO REVESTIMENTO FASE X """;;;;1;0;0;FASE 3;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;3;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_5_3;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 3;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;3;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
;;RIH_BHA_30_6_3;Retirar Protective Sleeve;;;;1;0;0;FASE 3;Retirada de protective sleeve;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Retirada de protective sleeve;;3;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_7_3;Instalar Bearing Assembly;;;;1;0;0;FASE 3;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;3;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_8_3;Abrir BOP;;;;0,5;0;0;FASE 3;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;3;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_9_3;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço revestido);insere;y = PIF - PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 3;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;3;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
;;RIH_BHA_30_10_3;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço aberto);insere;y = PFF - PIF;itens da tabela de coluna de perfuração;0;0;0;FASE 3;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;3;Perfuração;Descida de coluna em poço aberto;Moderada;P-03
RIH_BHA 30-fase-4;RIH_BHA 30-fase-4;RIH_BHA_30_1_4;Montar BHA Bull Nose com Alargador DIAMETRO FASE X pol;zerar itens;;;6;0;0;FASE 4;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;4;Perfuração;Montagem de BHA;Baixa;P-01
;;RIH_BHA_30_2_4;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 4;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;4;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_3_4;"Montar FIRBP com bucha proteção DIAMETRO REVESTIMENTO FASE X + 1""";;;;1;0;0;FASE 4;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;4;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_4_4;"Montar FIRBP com bucha proteçao DIAMETRO REVESTIMENTO FASE X """;;;;1;0;0;FASE 4;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;4;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_5_4;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 4;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;4;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
;;RIH_BHA_30_6_4;Retirar Protective Sleeve;;;;1;0;0;FASE 4;Retirada de protective sleeve;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Retirada de protective sleeve;;4;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_7_4;Instalar Bearing Assembly;;;;1;0;0;FASE 4;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;4;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_8_4;Abrir BOP;;;;0,5;0;0;FASE 4;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;4;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_9_4;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço revestido);insere;y = PIF - PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 4;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;4;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
;;RIH_BHA_30_10_4;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço aberto);insere;y = PFF - PIF;itens da tabela de coluna de perfuração;0;0;0;FASE 4;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;4;Perfuração;Descida de coluna em poço aberto;Moderada;P-03
RIH_BHA 30-fase-5;RIH_BHA 30-fase-5;RIH_BHA_30_1_5;Montar BHA Bull Nose com Alargador DIAMETRO FASE X pol;zerar itens;;;6;0;0;FASE 5;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;5;Perfuração;Montagem de BHA;Baixa;P-01
;;RIH_BHA_30_2_5;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 5;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;5;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_3_5;"Montar FIRBP com bucha proteção DIAMETRO REVESTIMENTO FASE X + 1""";;;;1;0;0;FASE 5;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;5;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_4_5;"Montar FIRBP com bucha proteçao DIAMETRO REVESTIMENTO FASE X """;;;;1;0;0;FASE 5;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;5;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_5_5;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 5;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;5;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
;;RIH_BHA_30_6_5;Retirar Protective Sleeve;;;;1;0;0;FASE 5;Retirada de protective sleeve;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Retirada de protective sleeve;;5;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_7_5;Instalar Bearing Assembly;;;;1;0;0;FASE 5;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;5;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_8_5;Abrir BOP;;;;0,5;0;0;FASE 5;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;5;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_9_5;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço revestido);insere;y = PIF - PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 5;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;5;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
;;RIH_BHA_30_10_5;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço aberto);insere;y = PFF - PIF;itens da tabela de coluna de perfuração;0;0;0;FASE 5;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;5;Perfuração;Descida de coluna em poço aberto;Moderada;P-03
RIH_BHA 30-fase-6;RIH_BHA 30-fase-6;RIH_BHA_30_1_6;Montar BHA Bull Nose com Alargador DIAMETRO FASE X pol;zerar itens;;;6;0;0;FASE 6;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;6;Perfuração;Montagem de BHA;Baixa;P-01
;;RIH_BHA_30_2_6;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 6;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;6;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_3_6;"Montar FIRBP com bucha proteção DIAMETRO REVESTIMENTO FASE X + 1""";;;;1;0;0;FASE 6;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;6;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_4_6;"Montar FIRBP com bucha proteçao DIAMETRO REVESTIMENTO FASE X """;;;;1;0;0;FASE 6;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;6;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_5_6;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 6;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;6;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
;;RIH_BHA_30_6_6;Retirar Protective Sleeve;;;;1;0;0;FASE 6;Retirada de protective sleeve;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Retirada de protective sleeve;;6;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_7_6;Instalar Bearing Assembly;;;;1;0;0;FASE 6;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;6;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_8_6;Abrir BOP;;;;0,5;0;0;FASE 6;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;6;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_9_6;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço revestido);insere;y = PIF - PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 6;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;6;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
;;RIH_BHA_30_10_6;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço aberto);insere;y = PFF - PIF;itens da tabela de coluna de perfuração;0;0;0;FASE 6;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;6;Perfuração;Descida de coluna em poço aberto;Moderada;P-03
RIH_BHA 30-fase-7;RIH_BHA 30-fase-7;RIH_BHA_30_1_7;Montar BHA Bull Nose com Alargador DIAMETRO FASE X pol;zerar itens;;;6;0;0;FASE 7;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;7;Perfuração;Montagem de BHA;Baixa;P-01
;;RIH_BHA_30_2_7;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 7;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;7;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_3_7;"Montar FIRBP com bucha proteção DIAMETRO REVESTIMENTO FASE X + 1""";;;;1;0;0;FASE 7;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;7;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_4_7;"Montar FIRBP com bucha proteçao DIAMETRO REVESTIMENTO FASE X """;;;;1;0;0;FASE 7;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;7;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_5_7;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 7;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;7;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
;;RIH_BHA_30_6_7;Retirar Protective Sleeve;;;;1;0;0;FASE 7;Retirada de protective sleeve;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Retirada de protective sleeve;;7;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_7_7;Instalar Bearing Assembly;;;;1;0;0;FASE 7;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;7;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_8_7;Abrir BOP;;;;0,5;0;0;FASE 7;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;7;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_9_7;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço revestido);insere;y = PIF - PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 7;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;7;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
;;RIH_BHA_30_10_7;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço aberto);insere;y = PFF - PIF;itens da tabela de coluna de perfuração;0;0;0;FASE 7;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;7;Perfuração;Descida de coluna em poço aberto;Moderada;P-03
RIH_BHA 30-fase-8;RIH_BHA 30-fase-8;RIH_BHA_30_1_8;Montar BHA Bull Nose com Alargador DIAMETRO FASE X pol;zerar itens;;;6;0;0;FASE 8;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;8;Perfuração;Montagem de BHA;Baixa;P-01
;;RIH_BHA_30_2_8;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 8;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;8;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_3_8;"Montar FIRBP com bucha proteção DIAMETRO REVESTIMENTO FASE X + 1""";;;;1;0;0;FASE 8;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;8;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_4_8;"Montar FIRBP com bucha proteçao DIAMETRO REVESTIMENTO FASE X """;;;;1;0;0;FASE 8;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;8;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_5_8;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 8;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;8;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
;;RIH_BHA_30_6_8;Retirar Protective Sleeve;;;;1;0;0;FASE 8;Retirada de protective sleeve;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Retirada de protective sleeve;;8;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_7_8;Instalar Bearing Assembly;;;;1;0;0;FASE 8;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;8;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_8_8;Abrir BOP;;;;0,5;0;0;FASE 8;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;8;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
;;RIH_BHA_30_9_8;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço revestido);insere;y = PIF - PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 8;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;8;Perfuração;Descida de coluna em poço revestido;Moderada;P-02, P-03
;;RIH_BHA_30_10_8;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(poço aberto);insere;y = PFF - PIF;itens da tabela de coluna de perfuração;0;0;0;FASE 8;Instalação de bearing assembly;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Instalação de bearing assembly;;8;Perfuração;Descida de coluna em poço aberto;Moderada;P-03
RIH_BHA 30-fase-9;RIH_BHA 30-fase-9;RIH_BHA_30_1_9;Montar BHA Bull Nose com Alargador DIAMETRO FASE X pol;zerar itens;;;6;0;0;FASE 9;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;9;Perfuração;Montagem de BHA;Baixa;P-01
;;RIH_BHA_30_2_9;Montar FIRBP com bucha nominal;;;;1;0;0;FASE 9;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;9;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_3_9;"Montar FIRBP com bucha proteção DIAMETRO REVESTIMENTO FASE X + 1""";;;;1;0;0;FASE 9;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;9;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_4_9;"Montar FIRBP com bucha proteçao DIAMETRO REVESTIMENTO FASE X """;;;;1;0;0;FASE 9;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;9;Cabeça de poço;Instalação de wear bushing;Baixa;P-01
;;RIH_BHA_30_5_9;Descer BHA Bull Nose com Alargador DIAMETRO FASE X pol(riser);insere;y = PDA;itens da tabela de coluna de perfuração;0;0;0;FASE 9;Troca de broca;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Troca de broca;;9;Perfuração;Descida de coluna em poço revestido;Baixa;P-01
;;RIH_BHA_30_6_9;Retirar Protective Sleeve;;;;1;0;0;FASE 9;Retirada de protective sleeve;"Broca DIAMETRO FASE X """;"Perfuração DIAMETRO FASE X """;Retirada de protective sleeve;;9;Perfuração;Descida de coluna em poço revestido;Moderada;P-01
